Phone_service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Age_s,Number_Dependents_s,Number_Referrals_s,Tenure_s,Average_Monthly_Long_Distance_Charges_s,Average_Monthly_GB_Download_s,Monthly_Charge_s,Total_Charges_s,Total_Refunds_s,Total_Extra_Data_Charges_s,Total_Long_Distance_Charges_s,Churn
Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.7049180327868853,0.0,0.0,0.0,0.0,0.1807228915662651,0.0,0.0,0.0,0.0,0.0037450601966731,0
Yes,No,Yes,DSL,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.4918032786885246,0.0,0.0,0.0,0.0,0.24096385542168677,0.07066381156316917,0.0,0.0,0.0,0.0006146034371840825,1
Yes,No,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Two Year,No,Credit Card,0.2786885245901639,0.0,0.0,0.02816901408450704,0.0,0.24096385542168677,0.1970877944325482,0.0,0.0,0.0,0.0,0
Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.9508196721311476,0.0,0.09090909090909091,0.15492957746478872,0.0,0.20481927710843376,0.07237687366167023,0.0,0.0,0.0,0.024021229666390958,1
Yes,No,Yes,DSL,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.08196721311475408,0.0,0.0,0.056338028169014086,0.0,0.48192771084337355,0.02184154175588865,0.02936782678081822,0.0,0.0,0.006608422939068101,0
Yes,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.4918032786885246,0.0,0.0,0.0,0.6147229445889179,0.0963855421686747,0.17173447537473235,0.0,0.0,0.0,0.008825590478816286,0
Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.3606557377049181,0.25,0.2727272727272727,0.943661971830986,0.0,0.20481927710843376,0.07922912205567452,0.0,0.0,0.0,0.006611294917746531,0
Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.3114754098360656,0.25,0.09090909090909091,0.7323943661971831,0.0,0.3253012048192771,0.10492505353319058,0.0,0.0,0.0,0.6604603207425789,0
Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,0.3606557377049181,0.0,0.0,0.08450704225352114,0.0,0.04819277108433736,0.1635117773019272,0.0,0.0,0.0,0.005249977024170573,0
Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.7049180327868853,0.0,0.2727272727272727,0.3943661971830986,0.0,0.1807228915662651,0.6419700214132763,0.0,0.0,0.0,0.003535405753147689,0
Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,0.09836065573770492,0.0,0.09090909090909091,0.36619718309859156,0.0,0.6867469879518073,0.15546038543897217,0.0,0.0,0.0,0.1453163771712159,0
Yes,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,0.24590163934426235,0.0,0.6363636363636364,0.8169014084507042,0.0,0.13253012048192772,0.06860813704496788,0.0,0.0,0.0,0.3434685460895139,0
Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,0.8852459016393442,0.0,0.09090909090909091,0.8732394366197184,0.0,0.1927710843373494,0.10321199143468952,0.0,0.0,0.0,0.003032809484422388,0
Yes,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,0.2786885245901639,0.0,0.0,0.23943661971830985,0.0,0.03614457831325301,0.0,0.0,0.0,0.0,0.0,1
Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,0.8524590163934426,0.0,0.09090909090909091,0.4366197183098592,0.0,0.27710843373493976,0.06877944325481798,0.0,0.0,0.0,0.00533039242716662,1
Yes,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.34426229508196726,0.0,0.0,0.11267605633802817,0.8385677135427086,0.3253012048192771,0.17147751605995717,0.0,0.0,0.0,0.004962779156327544,1
Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,One Year,No,Credit Card,0.836065573770492,0.0,0.0,0.6056338028169015,0.0,0.20481927710843376,0.1468950749464668,0.47885456476220756,0.0,0.0,0.006077106883558497,0
Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,0.08196721311475408,0.0,0.18181818181818182,0.323943661971831,0.8987797559511903,0.9638554216867471,0.6822269807280514,0.0,0.0,0.0,0.006410256410256411,0
Yes,No,Yes,DSL,No,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.04918032786885246,0.0,0.0,0.056338028169014086,0.0,0.6867469879518073,0.14612419700214133,0.0,0.0,0.0,0.0,0
Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.6721311475409837,0.375,0.6363636363636364,0.36619718309859156,0.0,0.25301204819277107,0.6488222698072805,0.0,0.0,0.0,0.002877722635787152,0
Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,0.836065573770492,0.0,0.36363636363636365,0.6056338028169015,0.0,0.04819277108433736,0.1126338329764454,0.0,0.0,0.0,0.003262567778696811,0
Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Credit Card,0.7868852459016394,0.0,0.0,0.676056338028169,0.0,0.0963855421686747,0.08008565310492506,0.0,0.0,0.0,0.0012378228104034555,0
Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,0.3606557377049181,0.0,0.09090909090909091,0.9295774647887325,0.0,0.25301204819277107,0.12119914346895076,0.7060097552781094,0.0,0.0,0.0063298410072603626,0
Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.5245901639344263,0.0,0.0,0.26760563380281693,0.0,0.3132530120481928,0.18055674518201284,0.0,0.0,0.0,0.0014589651686425882,0
Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,0.11475409836065575,0.0,0.9090909090909092,0.3943661971830986,0.0,0.6867469879518073,0.02595289079229122,0.0,0.0,0.0,0.0003302775480194835,0
Yes,No,Yes,Cable,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.7377049180327869,0.0,0.0,0.04225352112676056,0.0,0.1807228915662651,0.06012847965738758,0.0264760407729828,0.0,0.0,0.008604448120577153,0
Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,0.3770491803278688,0.0,0.0,0.11267605633802817,0.0,0.26506024096385544,0.18886509635974305,0.0,0.0,0.0,0.0006461952026468156,0
Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,0.3770491803278688,0.0,0.0,0.33802816901408456,0.0,0.1927710843373494,0.5974304068522485,0.0,0.0,0.0,0.28798766197959746,0
Yes,No,Yes,DSL,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.4918032786885246,0.125,0.2727272727272727,0.4366197183098592,0.9333866773354671,0.1807228915662651,0.11169164882226981,0.0,0.0,0.0,0.0014704530833563093,0
Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.6885245901639344,0.0,0.0,0.0,0.0,0.3132530120481928,0.025781584582441112,0.0,0.0,0.0,0.0013010063413289221,0
Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,0.459016393442623,0.0,0.5454545454545454,0.9859154929577465,0.0,0.1204819277108434,0.094389721627409,0.0,0.0,0.0,0.005568766657476336,0
Yes,No,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.5573770491803279,0.0,0.0,0.02816901408450704,0.7799559911982398,0.21686746987951808,0.02595289079229122,0.0,0.0,0.0,0.03359353460159912,0
Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.9508196721311476,0.0,0.09090909090909091,0.5915492957746479,0.0,0.03614457831325301,0.9486081370449679,0.0,0.0,0.0,0.00010339123242349049,1
Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,0.8196721311475411,0.0,0.0,0.4084507042253521,0.9177835567113424,0.20481927710843376,0.1633404710920771,0.0,0.0,0.0,0.0023090708574579543,1
Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.2622950819672132,0.0,0.0,0.323943661971831,0.7539507901580316,0.1927710843373494,0.8458244111349037,0.0,0.0,0.0,0.004755996691480562,1
Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.03278688524590162,0.0,0.0,0.7746478873239437,0.0,0.5903614457831325,0.1922912205567452,0.0,0.0,0.0,0.4086710780259168,1
Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,0.4098360655737705,0.125,0.6363636363636364,0.3802816901408451,0.0,0.20481927710843376,0.15802997858672377,0.0,0.0,0.0,0.21133167907361458,0
Yes,No,Yes,Cable,Yes,No,Yes,No,No,No,Yes,Yes,Month-to-Month,No,Credit Card,0.016393442622950838,0.125,0.0,0.02816901408450704,0.0,0.8072289156626506,0.06072805139186296,0.0,0.0,0.0,0.028673835125448032,0
Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,0.6065573770491803,0.0,0.6363636363636364,0.3802816901408451,0.0,0.20481927710843376,0.1463811563169165,0.0,0.0,0.0,0.004170113041080783,0
Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,No,Month-to-Month,No,Credit Card,0.3606557377049181,0.0,0.0,0.02816901408450704,0.0,0.03614457831325301,0.020985010706638118,0.0,0.0,0.0,0.0023090708574579543,0
Yes,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,0.4918032786885246,0.0,0.0,0.014084507042253521,0.0,0.1566265060240964,0.03443254817987152,0.0,0.0,0.0,0.006065618968844776,0
Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.39344262295081966,0.0,0.0,0.0,0.0,0.024096385542168676,0.020128479657387583,0.0,0.0,0.0,0.00011775112581564194,0
Yes,No,Yes,Fiber Optic,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.34426229508196726,0.0,0.0,0.14084507042253522,0.8989797959591919,0.27710843373493976,0.6325481798715203,0.0,0.0,0.0,0.004118417424869038,1
Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.9016393442622951,0.25,0.2727272727272727,0.6901408450704226,0.0,0.1927710843373494,0.026980728051391865,0.0,0.0,0.0,0.0,0
Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.7868852459016394,0.0,0.0,0.056338028169014086,0.0,0.1566265060240964,0.11605995717344755,0.0,0.0,0.0,0.005482607297123426,0
Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.24590163934426235,0.0,0.0,0.14084507042253522,0.6759351870374075,0.25301204819277107,0.0278372591006424,0.10663010937190646,0.0,0.0,0.1067485754985755,0
Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,0.09836065573770492,0.125,0.9090909090909092,1.0,0.6751350270054011,0.3373493975903614,0.14620985010706639,0.0,0.0,0.0,0.0,0
Yes,No,Yes,Cable,Yes,Yes,No,Yes,No,No,No,No,Two Year,No,Credit Card,0.42622950819672134,0.125,0.0,0.5070422535211268,1.0,0.3012048192771084,0.115203426124197,0.0,1.0,0.0,0.0,0
Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.7213114754098361,0.375,0.36363636363636365,0.971830985915493,0.7767553510702141,0.26506024096385544,0.1028693790149893,0.0,0.0,0.0,0.0017260591857366052,0
Yes,No,Yes,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,One Year,No,Credit Card,0.5901639344262295,0.0,0.0,0.5211267605633804,0.0,0.24096385542168677,0.18895074946466808,0.0,0.0,0.0,0.006065618968844776,0
Yes,No,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,0.6229508196721312,0.0,0.8181818181818182,0.8873239436619719,0.0,0.27710843373493976,0.17156316916488223,0.0,0.0,0.0,0.0007352265416781547,0
Yes,Yes,Yes,Cable,Yes,No,No,Yes,No,No,No,Yes,One Year,No,Credit Card,0.6557377049180328,0.0,0.0,0.7042253521126761,0.0,0.012048192771084341,0.09498929336188437,0.0,0.0,0.0,0.006418872346291702,0
Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,No,No,Two Year,Yes,Credit Card,0.3114754098360656,0.0,0.0,0.647887323943662,0.7151430286057212,0.13253012048192772,0.0,0.0,0.0,0.0,7.179946696075729e-05,0
Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,0.11475409836065575,0.0,0.0,0.5070422535211268,0.0,0.9638554216867471,0.03451820128479658,0.0,0.0,0.0,0.0032223600771987874,0
Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,0.2622950819672132,0.375,0.09090909090909091,0.5352112676056339,0.0,0.6144578313253013,0.8561027837259101,0.0,0.0,0.0,0.273073476702509,0
Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,0.8032786885245903,0.0,0.0,0.619718309859155,0.0,0.21686746987951808,0.03554603854389722,0.0,0.0,0.0,0.006332712985938793,0
Yes,Yes,Yes,Cable,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,0.016393442622950838,0.0,0.4545454545454546,0.3098591549295775,0.0,0.5542168674698796,0.6308351177730194,0.19711541345940398,0.0,0.0,0.006372920687436817,0
Yes,No,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,0.6721311475409837,0.0,0.09090909090909091,0.9295774647887325,0.0,0.1927710843373494,0.08008565310492506,0.0,0.0,0.0,0.8707121358331036,0
Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,0.2786885245901639,0.25,0.4545454545454546,0.7746478873239437,0.0,0.10843373493975905,0.11186295503211993,0.0,0.0,0.0,0.22419814355298226,0
Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,0.4098360655737705,0.0,0.09090909090909091,0.676056338028169,0.0,0.25301204819277107,0.11160599571734475,0.5157158370280599,0.0,0.0,8.328738167447844e-05,0
Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.3278688524590164,0.0,0.0,0.7887323943661972,0.0,0.1566265060240964,0.19914346895074947,0.655709477498665,0.0,0.0,0.004695685139233527,1
Yes,No,Yes,DSL,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,0.7213114754098361,0.0,0.6363636363636364,0.9014084507042254,0.0,0.2891566265060241,0.06124197002141328,0.0,0.0,0.0,0.0009621128572741477,0
Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.7213114754098361,0.125,0.0,0.35211267605633806,0.0,0.20481927710843376,0.08094218415417559,0.0,0.0,0.0,0.004733020862053121,0
Yes,No,Yes,DSL,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,0.08196721311475408,0.0,0.0,0.056338028169014086,0.0,0.5903614457831325,0.060642398286937904,0.0,0.0,0.0,0.004150009190331771,0
Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,0.29508196721311475,0.25,0.09090909090909091,0.16901408450704225,0.5937187437487498,0.24096385542168677,0.42783725910064246,0.0,0.0,0.0,0.11081242532855436,0
Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,0.29508196721311475,0.0,0.0,0.0,0.0,0.08433734939759036,0.004710920770877945,0.0,0.0,0.0,0.003259695800018381,1
Yes,No,Yes,DSL,Yes,No,No,Yes,No,No,Yes,Yes,One Year,No,Credit Card,0.016393442622950838,0.0,0.0,0.16901408450704225,0.9337867573514703,0.6867469879518073,0.06124197002141328,0.0,0.0,0.0,0.17428315412186382,0
Yes,Yes,Yes,DSL,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,0.5245901639344263,0.25,0.9090909090909092,0.25352112676056343,0.0,0.13253012048192772,0.01721627408993576,0.0,0.0,0.0,0.05167551236099624,0
Yes,No,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.7213114754098361,0.375,0.0,0.0,0.0,0.8795180722891567,0.05182012847965739,0.0,0.0,0.0,0.0026450923628342986,0
Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,0.42622950819672134,0.375,0.2727272727272727,0.971830985915493,0.0,0.6144578313253013,0.1640256959314775,0.0,0.0,0.0,0.0008673375608859481,0
Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,0.459016393442623,0.0,0.8181818181818182,0.676056338028169,0.0,0.3373493975903614,0.19768736616702356,0.0,0.0,0.0,0.0014618371473210184,0
Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,0.2295081967213115,0.0,0.09090909090909091,0.22535211267605634,0.5767153430686137,0.03614457831325301,0.8278372591006425,0.0,0.0,0.0,0.0029035704438930246,0
Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.6885245901639344,0.0,0.0,0.16901408450704225,0.6177235447089418,0.012048192771084341,0.060642398286937904,0.0,0.0,0.0,0.005008730815182429,1
Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,No,No,No,One Year,Yes,Credit Card,0.2622950819672132,0.125,0.2727272727272727,0.9859154929577465,0.0,0.20481927710843376,0.19828693790149893,0.8124418793009317,0.0,0.0,0.7041029087400056,0
Yes,Yes,Yes,Cable,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,0.639344262295082,0.375,0.9090909090909092,0.22535211267605634,0.0,0.3132530120481928,0.12000000000000001,0.13158826246857733,0.0,0.0,0.0059134040988879704,0
Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,0.19672131147540983,0.0,0.0,0.16901408450704225,0.0,0.22891566265060245,0.0,0.0,0.0,0.0,0.09012843488649941,1
