Customer_ID,Gender,Age,Married,Number_Dependents,City,Zip_Code,Latitude,Longtitude,Number_Referrals,Tenure,Offer,Phone_service,Average_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Average_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,Tenure_bins,Monthly_Charge_bins,Age_bins
0020-JDNXP,Female,52,Yes,1,Point Reyes Station,94956,38060264,-122830646.0,0,34,,No,,,Yes,DSL,20.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,13.25,0.0,0.0,0.0,0.0,1.02,0,,,Médio-Baixo,Baixo,Baixo
0021-IKXGC,Female,72,No,0,San Marcos,92078,33119028,-117166036.0,0,1,Offer E,Yes,0.0,Yes,Yes,Fiber Optic,22.0,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,0.01,0.0,0.0,0.0,0.0,79.87,0,,,Baixo,Baixo,Baixo
0022-TCJCI,Male,79,No,0,Daly City,94015,37680844,-12248131.0,0,45,,Yes,0.0,No,Yes,DSL,17.0,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,14.07,0.0,0.0,0.0,0.15,3271.65,1,Dissatisfaction,Limited range of services,Médio-Alto,Baixo,Baixo
0023-HGHWL,Male,67,No,0,Morgan Hill,95037,37161544,-121649371.0,0,1,,No,,,Yes,Cable,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1.01,0.0,0.0,0.0,0.0,1.01,1,Competitor,Competitor made better offer,Baixo,Baixo,Baixo
0023-UYUPN,Female,79,Yes,0,Ahwahnee,93601,37375816,-119739935.0,0,50,,Yes,0.0,Yes,No,,,,,,,,,,,One Year,No,Bank Withdrawal,1.02,0.0,0.0,0.0,11.05,21.08,0,,,Médio-Alto,Baixo,Baixo
0023-XUOPT,Female,26,Yes,0,Carnelian Bay,96140,39227434,-120091806.0,1,13,,Yes,0.0,Yes,Yes,Fiber Optic,52.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,22.01,0.0,0.0,0.0,14.28,0.0,1,Other,Don't know,Baixo,Baixo,Baixo
0027-KWYKW,Female,30,Yes,2,Alpaugh,93201,35869626,-119498771.0,1,23,Offer D,Yes,34.91,Yes,Yes,Fiber Optic,30.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,0.0,0.0,0.0,802.93,2652.88,0,,,Médio-Baixo,Médio-Alto,Médio-Alto
0030-FNXPP,Female,22,No,0,Keeler,93530,36560498,-117962461.0,0,3,,Yes,0.0,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,0.0,0.0,0.0,0.0,9.36,18.56,0,,,Baixo,Baixo,Baixo
0031-PVLZI,Female,34,Yes,0,Korbel,95550,407666,-12380458.0,0,4,Offer E,Yes,0.0,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,20.35,0.0,0.0,0.0,49.72,6.07,1,Price,Long distance charges,Baixo,Baixo,Baixo
0032-PGELS,Female,37,Yes,1,Palomar Mountain,92060,33309852,-116823091.0,1,1,,No,,,Yes,DSL,19.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,6.05,0.0,0.0,0.0,0.0,6.05,1,Attitude,Attitude of service provider,Baixo,Baixo,Baixo
0036-IHMOT,Female,37,Yes,3,Parlier,93648,36622237,-119521126.0,10,55,,Yes,0.0,No,Yes,Fiber Optic,57.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,7.07,5656.75,0.0,0.0,7.02,7603.95,0,,,Alto,Baixo,Baixo
0040-HALCW,Male,42,Yes,3,Modesto,95358,37612612,-121108568.0,3,54,,Yes,0.0,No,No,,,,,,,,,,,Two Year,No,Credit Card,20.04,0.0,0.0,0.0,7.08,18.04,0,,,Médio-Alto,Baixo,Baixo
0042-JVWOJ,Male,64,No,0,Glen Ellen,95442,38368744,-122522642.0,0,26,Offer C,Yes,0.0,No,No,,,,,,,,,,,One Year,Yes,Bank Withdrawal,19.06,471.85,21.25,0.0,20.02,14.08,0,,,Médio-Baixo,Baixo,Baixo
0042-RLHYP,Female,47,Yes,3,Eureka,95503,40737431,-124108897.0,5,69,,Yes,0.0,No,No,,,,,,,,,,,Two Year,No,Bank Withdrawal,19.07,0.0,0.0,0.0,2648.91,4045.81,0,,,Alto,Baixo,Baixo
0048-LUMLS,Male,23,Yes,3,Moss Beach,94038,37515556,-122502311.0,1,37,Offer C,Yes,0.0,No,Yes,Fiber Optic,51.0,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,19.02,0.0,0.0,0.0,7.37,4838.92,0,,,Médio-Alto,Baixo,Baixo
0048-PIHNL,Female,48,Yes,0,Los Angeles,90058,34001617,-118222274.0,5,49,Offer B,Yes,0.0,No,No,,,,,,,,,,,One Year,No,Bank Withdrawal,20.45,0.0,0.0,0.0,5.42,18.32,0,,,Médio-Alto,Baixo,Baixo
0052-DCKON,Male,28,Yes,0,Los Angeles,90063,34044271,-118185237.0,9,66,,Yes,43.77,Yes,Yes,Fiber Optic,41.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,23.59,0.0,0.0,0.0,2888.82,10830.97,0,,,Alto,Baixo,Baixo
0052-YNYOT,Female,28,No,0,Calexico,92231,32690654,-115431225.0,0,67,,Yes,0.0,No,No,,,,,,,,,,,One Year,No,Bank Withdrawal,20.55,0.0,6.53,0.0,13.04,2861.91,0,,,Alto,Baixo,Baixo
0056-EPFBG,Male,33,Yes,1,Redding,96003,40677649,-12229467.0,4,20,,No,,,Yes,Cable,22.0,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,15.04,0.0,0.0,0.0,0.0,9.04,0,,,Médio-Baixo,Baixo,Baixo
0057-QBUQH,Female,31,No,3,San Martin,95046,37084697,-121606417.0,0,43,,Yes,30.64,Yes,No,,,,,,,,,,,Two Year,Yes,Bank Withdrawal,1.01,0.0,0.0,0.0,21.52,2387.67,0,,,Médio-Alto,Baixo,Baixo
0058-EVZWM,Female,37,Yes,0,Stockton,95209,38044523,-121348048.0,2,55,Offer B,Yes,0.0,Yes,Yes,Fiber Optic,9.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,17.08,0.0,0.0,0.0,15.04,0.0,0,,,Alto,Baixo,Baixo
0060-FUALY,Female,60,Yes,0,Los Angeles,90003,33964131,-118272783.0,4,59,Offer B,Yes,0.0,Yes,Yes,Fiber Optic,14.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,0.0,0.0,7.01,6564.66,0,,,Alto,Alto,Alto
0064-SUDOG,Female,48,Yes,3,Huntington Park,90255,3397803,-118217141.0,3,12,,Yes,0.0,No,No,,,,,,,,,,,Two Year,No,Bank Withdrawal,20.03,0.0,0.0,0.0,15.36,455.86,0,,,Baixo,Baixo,Baixo
0064-YIJGF,Male,60,Yes,3,Yermo,92398,35013299,-116834092.0,7,27,Offer C,Yes,0.0,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,0.0,0.0,0.0,10.02,19.02,0,,,Médio-Baixo,Médio-Alto,Médio-Alto
0067-DKWBL,Male,69,No,0,San Diego,92129,32961064,-117134917.0,0,2,,Yes,43.99,No,Yes,DSL,27.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1.25,0.0,0.0,0.0,87.98,11.08,1,Competitor,Competitor made better offer,Baixo,Baixo,Baixo
0068-FIGTF,Female,20,No,0,Fremont,94539,37516791,-121899117.0,0,27,Offer C,Yes,48.91,No,Yes,DSL,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,6.02,0.0,0.0,0.0,0.57,15.52,0,,,Médio-Baixo,Baixo,Baixo
0071-NDAFP,Male,31,Yes,3,Santa Rosa,95405,38439696,-122668817.0,1,25,,Yes,0.0,Yes,No,,,,,,,,,,,Two Year,No,Credit Card,1.05,0.0,20.42,0.0,16.25,2.43,0,,,Médio-Baixo,Baixo,Baixo
0074-HDKDG,Male,46,Yes,0,San Jose,95126,37327069,-121916819.0,5,25,,Yes,0.0,No,Yes,Cable,19.0,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,13.06,0.0,20.09,0.0,17.25,23.35,0,,,Médio-Baixo,Baixo,Baixo
0076-LVEPS,Male,57,No,1,Tujunga,91042,34296574,-118244839.0,0,29,,No,,,Yes,DSL,21.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,0.0,0.0,12.26,0.0,0.0,6.19,0,,,Médio-Baixo,Baixo,Baixo
0078-XZMHT,Male,19,Yes,0,Visalia,93291,36391777,-119372842.0,5,72,,Yes,0.0,Yes,Yes,DSL,52.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,13.15,0.0,0.0,0.0,2329.92,6.12,0,,,Alto,Baixo,Baixo
0080-EMYVY,Female,64,No,0,Lodi,95240,38123544,-121159078.0,0,14,,Yes,0.0,No,Yes,Cable,12.0,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,3.45,727.85,0.0,0.0,0.56,8.41,0,,,Baixo,Baixo,Baixo
0080-OROZO,Female,38,No,0,El Portal,95318,37654551,-119822984.0,0,35,Offer C,Yes,0.0,No,Yes,Fiber Optic,2.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,3.25,0.0,0.0,0.0,2.07,6.07,0,,,Médio-Baixo,Baixo,Baixo
0082-LDZUE,Male,54,No,0,Calistoga,94515,38629618,-122593216.0,0,1,Offer E,Yes,42.95,No,Yes,DSL,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,20.03,0.0,0.0,0.0,42.95,15.25,0,,,Baixo,Baixo,Baixo
0082-OQIQY,Male,50,No,0,Farmington,95230,37956963,-120863055.0,0,29,,Yes,0.0,No,Yes,Fiber Optic,17.0,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,22.02,0.0,0.0,0.0,11.45,23.05,0,,,Médio-Baixo,Baixo,Baixo
0083-PIVIK,Male,25,No,0,Tulelake,96134,41813521,-121492666.0,0,64,,Yes,0.0,Yes,Yes,DSL,69.0,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,9.25,0.0,0.0,0.0,15.36,5958.91,0,,,Alto,Baixo,Baixo
0089-IIQKO,Female,35,Yes,3,Coleville,96107,3842528,-119475741.0,1,39,,Yes,0.0,Yes,Yes,Fiber Optic,53.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,0.0,0.0,0.0,950.82,14.22,0,,,Médio-Alto,Alto,Alto
0093-EXYQL,Female,72,No,0,Ojai,93023,34581308,-118931948.0,0,40,,Yes,0.0,No,Yes,Fiber Optic,23.0,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,19.55,0.0,0.0,0.0,13.06,15.02,0,,,Médio-Alto,Baixo,Baixo
0093-XWZFY,Male,51,No,0,Desert Hot Springs,92241,33832799,-116250973.0,0,40,,Yes,37.69,Yes,Yes,Fiber Optic,15.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,8.05,4036.85,0.0,0.0,19.06,0.45,1,Competitor,Competitor had better devices,Médio-Alto,Baixo,Baixo
0094-OIFMO,Female,78,No,1,North Hollywood,91605,34207295,-118400022.0,0,11,Offer D,Yes,0.0,No,Yes,Fiber Optic,29.0,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,0.0,0.0,0.0,0.0,7.49,1367.79,1,Dissatisfaction,Product dissatisfaction,Baixo,Baixo,Baixo
0096-BXERS,Female,30,Yes,0,Inverness,94937,38099323,-122945723.0,10,6,Offer E,Yes,42.66,Yes,Yes,Cable,85.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,2.35,0.0,0.0,0.0,255.96,18.51,0,,,Baixo,Baixo,Baixo
0096-FCPUF,Male,58,No,0,Santa Rosa,95404,38526941,-122709096.0,0,30,,Yes,0.0,Yes,Yes,DSL,15.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,16.05,0.0,0.0,0.0,7.02,0.0,0,,,Médio-Baixo,Baixo,Baixo
0098-BOWSO,Male,26,No,0,San Jose,95131,37387027,-121897775.0,0,27,,Yes,0.0,No,No,,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.04,0.0,0.0,0.0,557.82,1087.62,0,,,Médio-Baixo,Baixo,Baixo
0100-DUVFC,Male,66,Yes,0,Wilmington,90744,33782068,-118262263.0,3,70,,Yes,0.0,Yes,Yes,Fiber Optic,28.0,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,8.08,7308.95,6.11,0.0,4.03,10067.14,0,,,Alto,Baixo,Baixo
0103-CSITQ,Female,20,Yes,0,Modesto,95357,37670526,-120877572.0,10,57,Offer B,Yes,0.0,Yes,Yes,Fiber Optic,73.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,13.04,0.0,0.0,0.0,0.57,13.27,0,,,Alto,Baixo,Baixo
0104-PPXDV,Male,61,Yes,0,San Diego,92113,32697098,-117116587.0,10,58,,Yes,0.0,No,Yes,DSL,18.0,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,2.03,0.0,10.23,0.0,9.46,3933.78,0,,,Alto,Baixo,Baixo
0106-GHRQR,Male,24,No,0,Rancho Palos Verdes,90275,33753146,-118367459.0,0,16,,Yes,25.71,Yes,Yes,DSL,48.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,23.04,0.0,0.0,0.0,3.36,15.46,0,,,Baixo,Baixo,Baixo
0106-UGRDO,Female,55,Yes,0,Kenwood,95452,38419525,-122521585.0,3,69,Offer A,Yes,0.0,Yes,Yes,Fiber Optic,27.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.0,8182.85,0.0,0.0,2657.88,10840.73,0,,,Alto,Baixo,Baixo
0107-WESLM,Male,32,No,0,West Point,95255,3841935,-120469545.0,0,1,Offer E,Yes,31.77,No,No,,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,0.0,0.0,0.0,0.0,31.77,51.62,1,Attitude,Attitude of support person,Baixo,Baixo,Baixo
0107-YHINA,Male,59,No,0,Los Angeles,90062,34003553,-118308933.0,0,1,,Yes,40.71,Yes,Yes,Fiber Optic,25.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,0.0,0.0,40.71,20.46,1,Competitor,Competitor had better devices,Baixo,Alto,Alto
0111-KLBQG,Male,71,Yes,1,Morongo Valley,92256,34097863,-116594561.0,9,32,Offer C,Yes,31.86,No,Yes,Fiber Optic,23.0,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,0.0,0.0,0.0,11.52,3880.97,0,,,Médio-Baixo,Alto,Alto
0112-QAWRZ,Male,49,Yes,2,Palo Verde,92266,333249,-114758334.0,8,16,Offer D,Yes,48.71,Yes,Yes,Fiber Optic,12.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,18.08,0.0,0.0,0.0,11.36,13.56,0,,,Baixo,Baixo,Baixo
0112-QWPNC,Male,61,Yes,0,Valyermo,93563,3439583,-117734568.0,1,49,Offer B,Yes,0.0,Yes,Yes,Cable,10.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,12.35,0.0,0.0,0.0,0.0,21.03,1,Competitor,Competitor offered higher download speeds,Médio-Alto,Baixo,Baixo
0114-IGABW,Female,40,Yes,0,Cambria,93428,35591387,-121032256.0,2,71,Offer A,No,,,Yes,Cable,29.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,10.25,0.0,0.0,0.0,0.0,17.09,0,,,Alto,Baixo,Baixo
0114-PEGZZ,Female,39,No,0,Round Mountain,96084,40923558,-122059933.0,0,33,,Yes,49.69,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,11.55,0.0,0.0,0.0,1639.77,5.27,0,,,Médio-Baixo,Baixo,Baixo
0114-RSRRW,Female,21,Yes,0,Klamath,95548,41572813,-124035011.0,9,10,Offer D,Yes,0.0,No,No,,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,0.0,187.75,0.0,0.0,0.0,683.75,0,,,Baixo,Baixo,Baixo
0115-TFERT,Male,24,Yes,0,Fresno,93650,36841655,-119797113.0,1,21,,Yes,0.0,Yes,Yes,Fiber Optic,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,15.02,0.0,0.0,0.0,17.46,6.56,1,Attitude,Attitude of service provider,Médio-Baixo,Baixo,Baixo
0117-LFRMW,Male,52,Yes,1,Angwin,94508,38542448,-122419923.0,1,37,,No,,,Yes,DSL,23.0,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,16.02,0.0,0.0,0.0,0.0,8.08,1,Competitor,Competitor offered more data,Médio-Alto,Baixo,Baixo
0118-JPNOY,Female,71,No,0,Le Grand,95333,37249377,-120249581.0,0,26,,Yes,33.74,No,Yes,Fiber Optic,7.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,13.08,0.0,0.0,0.0,13.24,3070.89,0,,,Médio-Baixo,Baixo,Baixo
0121-SNYRK,Male,45,No,0,Redway,95560,40142256,-123852927.0,0,50,Offer B,No,,,Yes,DSL,7.0,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,11.04,0.0,0.0,0.0,0.0,20.09,0,,,Médio-Alto,Baixo,Baixo
0122-OAHPZ,Female,29,No,0,San Diego,92122,3285723,-117209774.0,0,7,,Yes,28.62,Yes,Yes,Fiber Optic,26.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,0.0,13.03,0.0,8.34,2.56,1,Competitor,Competitor made better offer,Baixo,Médio-Alto,Médio-Alto
0123-CRBRT,Female,62,Yes,0,Monterey Park,91755,34049172,-118115022.0,1,61,Offer B,Yes,0.0,Yes,Yes,DSL,28.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,16.01,5526.75,0.0,0.0,22.59,5.34,0,,,Alto,Baixo,Baixo
0125-LZQXK,Male,42,No,0,Big Oak Flat,95305,37818589,-120256995.0,0,15,Offer D,Yes,45.92,No,Yes,Fiber Optic,12.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,5.35,1553.95,0.0,0.0,16.08,0.0,1,Attitude,Attitude of service provider,Baixo,Baixo,Baixo
0128-MKWSG,Female,51,No,2,Stevenson Ranch,91381,34364153,-118615583.0,0,26,,No,,,Yes,DSL,19.0,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,21.08,0.0,0.0,0.0,0.0,0.0,0,,,Médio-Baixo,Baixo,Baixo
0129-KPTWJ,Male,39,Yes,0,North Highlands,95660,38671295,-121388251.0,9,72,,Yes,0.0,No,Yes,Fiber Optic,23.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.65,0.0,0.0,0.0,2391.84,19.19,0,,,Alto,Alto,Alto
0129-QMPDR,Male,64,Yes,0,La Puente,91746,34038983,-117991372.0,1,44,,Yes,0.0,No,No,,,,,,,,,,,One Year,Yes,Bank Withdrawal,20.05,0.0,0.0,0.0,5.06,0.0,0,,,Médio-Alto,Baixo,Baixo
0130-SXOUN,Male,55,No,0,Glenhaven,95443,39045246,-122743181.0,0,66,Offer A,Yes,48.78,Yes,Yes,Fiber Optic,8.0,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,17.04,0.0,12.02,0.0,3.48,8.36,0,,,Alto,Baixo,Baixo
0133-BMFZO,Female,40,No,0,Alhambra,91803,34074736,-118145959.0,0,2,,Yes,36.81,No,Yes,Fiber Optic,16.0,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,14.25,181.65,0.0,0.0,73.62,15.27,1,Competitor,Competitor offered higher download speeds,Baixo,Baixo,Baixo
0134-XWXCE,Female,76,No,0,Santa Monica,90403,34031529,-118491156.0,0,44,,Yes,0.0,No,Yes,DSL,17.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,74.85,0.0,0.0,0.0,339.68,3589.82,0,,,Médio-Alto,Médio-Alto,Médio-Alto
0135-NMXAP,Female,57,No,0,Lodi,95240,38123544,-121159078.0,0,12,Offer D,Yes,0.0,Yes,Yes,Fiber Optic,6.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,0.0,0.0,0.0,4.56,1224.96,1,Attitude,Attitude of support person,Baixo,Alto,Alto
